d,p,
"2010-06-01,二",973.23,
"2010-06-02,三",997.12,
"2010-06-03,四",998.39,
"2010-06-04,五",1027.68,
"2010-06-07,一",1069.47,
"2010-06-08,二",1067.15,
"2010-06-09,三",1077.82,
"2010-06-10,四",1117.48,
"2010-06-11,五",1122.2,
"2010-06-17,四",1064.84,
"2010-06-18,五",1000.28,
"2010-06-21,一",1040.8,
"2010-06-22,二",1035,
"2010-06-23,三",1047.34,
"2010-06-24,四",1050.6,
"2010-06-25,五",1016.28,
"2010-06-28,一",987.83,
"2010-06-29,二",913.31,
"2010-06-30,三",919.31,
"2010-07-01,四",882.19,
"2010-07-02,五",873.12,
"2010-07-05,一",862.27,
"2010-07-06,二",893.72,
"2010-07-07,三",908.55,
"2010-07-08,四",905.51,
"2010-07-09,五",932.15,
"2010-07-12,一",930.17,
"2010-07-13,二",931.08,
"2010-07-14,三",922.36,
"2010-07-15,四",892.56,
"2010-07-16,五",892.3,
"2010-07-19,一",908.05,
"2010-07-20,二",937.02,
"2010-07-21,三",941.25,
"2010-07-22,四",950.21,
"2010-07-23,五",960.59,
"2010-07-26,一",966.15,
"2010-07-27,二",957.97,
"2010-07-28,三",972.53,
"2010-07-29,四",975.36,
"2010-07-30,五",968.43,
"2010-08-02,一",994.23,
"2010-08-03,二",975.65,
"2010-08-04,三",978.01,
"2010-08-05,四",987.35,
"2010-08-06,五",1011.39,
"2010-08-09,一",1032.34,
"2010-08-10,二",993.99,
"2010-08-11,三",1004.64,
"2010-08-12,四",991.78,
"2010-08-13,五",1007.21,
"2010-08-16,一",1030.22,
"2010-08-17,二",1033.58,
"2010-08-18,三",1026.72,
"2010-08-19,四",1025.53,
"2010-08-20,五",995.94,
"2010-08-23,一",995.61,
"2010-08-24,二",1004.99,
"2010-08-25,三",976.88,
"2010-08-26,四",980.63,
"2010-08-27,五",999.46,
"2010-08-30,一",1024.93,
"2010-08-31,二",1025.57,
"2010-09-01,三",995.59,
"2010-09-02,四",1014.92,
"2010-09-03,五",1036.7,
"2010-09-06,一",1010.76,
"2010-09-07,二",1022.62,
"2010-09-08,三",1026.33,
"2010-09-09,四",1021.83,
"2010-09-10,五",1034.94,
"2010-09-13,一",1042.48,
"2010-09-14,二",1031.22,
"2010-09-15,三",990.1,
"2010-09-16,四",972.6,
"2010-09-17,五",972.23,
"2010-09-20,一",949.2,
"2010-09-21,二",934.46,
"2010-09-27,一",950.67,
"2010-09-28,二",942.05,
"2010-09-29,三",926.76,
"2010-09-30,四",942.54,
"2010-10-08,五",959.86,
"2010-10-11,一",947.11,
"2010-10-12,二",951.79,
"2010-10-13,三",962.74,
"2010-10-14,四",958.5,
"2010-10-15,五",944.25,
"2010-10-18,一",932.36,
"2010-10-19,二",995.92,
"2010-10-20,三",1004.54,
"2010-10-21,四",991.84,
"2010-10-22,五",1013.45,
"2010-10-25,一",1039.05,
"2010-10-26,二",1036.01,
"2010-10-27,三",1030.59,
"2010-10-28,四",1038.62,
"2010-10-29,五",1064.52,
"2010-11-01,一",1107.52,
"2010-11-02,二",1075.15,
"2010-11-03,三",1040.62,
"2010-11-04,四",1057.71,
"2010-11-05,五",1072.22,
"2010-11-08,一",1107.06,
"2010-11-09,二",1115.65,
"2010-11-10,三",1141.58,
"2010-11-11,四",1132.72,
"2010-11-12,五",1082.24,
"2010-11-15,一",1148.54,
"2010-11-16,二",1126.18,
"2010-11-17,三",1085.35,
"2010-11-18,四",1102.85,
"2010-11-19,五",1153.17,
"2010-11-22,一",1174.94,
"2010-11-23,二",1183.5,
"2010-11-24,三",1208.45,
"2010-11-25,四",1186.36,
"2010-11-26,五",1196.02,
"2010-11-29,一",1220.11,
"2010-11-30,二",1181.5,
"2010-12-01,三",1177.18,
"2010-12-02,四",1177.84,
"2010-12-03,五",1157.94,
"2010-12-06,一",1134.38,
"2010-12-07,二",1161.69,
"2010-12-08,三",1160.24,
"2010-12-09,四",1144.53,
"2010-12-10,五",1166.8,
"2010-12-13,一",1209.27,
"2010-12-14,二",1218.52,
"2010-12-15,三",1211.8,
"2010-12-16,四",1225.03,
"2010-12-17,五",1232.98,
"2010-12-20,一",1212.34,
"2010-12-21,二",1215.02,
"2010-12-22,三",1201.65,
"2010-12-23,四",1176.36,
"2010-12-24,五",1144.5,
"2010-12-27,一",1105.3,
"2010-12-28,二",1091.48,
"2010-12-29,三",1113.31,
"2010-12-30,四",1117.21,
"2010-12-31,五",1137.66,
"2011-01-04,二",1155.11,
"2011-01-05,三",1155.35,
"2011-01-06,四",1134.79,
"2011-01-07,五",1126.52,
"2011-01-10,一",1093.77,
"2011-01-11,二",1078.37,
"2011-01-12,三",1089.67,
"2011-01-13,四",1093.86,
"2011-01-14,五",1067.42,
"2011-01-17,一",1028.16,
"2011-01-18,二",1025.72,
"2011-01-19,三",1048.54,
"2011-01-20,四",1020.39,
"2011-01-21,五",1024.51,
"2011-01-24,一",994.97,
"2011-01-25,二",979,
"2011-01-26,三",995.74,
"2011-01-27,四",1013.02,
"2011-01-28,五",1020.94,
"2011-01-31,一",1029.12,
"2011-02-01,二",1032.6,
"2011-02-09,三",1025.15,
"2011-02-10,四",1063.95,
"2011-02-11,五",1071.58,
"2011-02-14,一",1086.56,
"2011-02-15,二",1087.73,
"2011-02-16,三",1107.24,
"2011-02-17,四",1115.33,
"2011-02-18,五",1100.46,
"2011-02-21,一",1117.67,
"2011-02-22,二",1088.27,
"2011-02-23,三",1114.05,
"2011-02-24,四",1101.95,
"2011-02-25,五",1095.1,
"2011-02-28,一",1099.78,
"2011-03-01,二",1098,
"2011-03-02,三",1088.9,
"2011-03-03,四",1064.31,
"2011-03-04,五",1071.86,
"2011-03-07,一",1078.11,
"2011-03-08,二",1084.82,
"2011-03-09,三",1087.3,
